id,Cursor,Amp,Width,ErrorRate,aligned(ErrorRate) for Cursor,aligned(ErrorRate) for Amp,aligned(ErrorRate) for Cursor*Amp,aligned(ErrorRate) for Width,aligned(ErrorRate) for Cursor*Width,aligned(ErrorRate) for Amp*Width,aligned(ErrorRate) for Cursor*Amp*Width,ART(ErrorRate) for Cursor,ART(ErrorRate) for Amp,ART(ErrorRate) for Cursor*Amp,ART(ErrorRate) for Width,ART(ErrorRate) for Cursor*Width,ART(ErrorRate) for Amp*Width,ART(ErrorRate) for Cursor*Amp*Width
16,1,1,3,0,-0.0219427901546801945436507936,-0.0913216805963378389880952380,-0.0659211200292764673611111112,-0.0952210967224374050595238095,-0.0718100636915366715277777778,-0.0162543340931637267857142857,-0.0354940933513974978174603174,490,173,248,169,193,510,417
16,1,2,1,0.263157894736842,0.0371722593739030411706349207,0.0228319139555178663690476191,0.0180048096262113368055555556,0.0621789089644157839285714286,0.0410877602695611216269841270,0.0223004840354739440476190477,0.0163068770444285182539682539,719.5,668.5,643.5,772.5,731.5,665.5,647.5
16,1,2,2,0.0500000000000001,-0.0743132997620317981150793650,-0.0886536451804169729166666666,-0.0934807495097235024801587301,-0.1018799389874134645833333332,-0.1041998233234595358134920635,-0.0977380898761785761904761905,-0.1019226896437154734126984127,221.5,197.5,121.5,127.5,98.5,137.5,88.5
16,1,2,3,0.0500000000000001,0.0052501923014602268849206350,-0.0090901531169249479166666666,-0.0139172574462314774801587301,-0.0680281142662969836309523809,-0.0446170812353962500992063492,-0.0322915384485900321428571428,-0.0221133316900077091269841270,600,528,521,281,371,414,462
16,1,3,1,0.125,-0.1459180907705711945436507936,-0.1380371511131545095238095237,-0.1586106073509093515873015874,-0.1209114411800584517857142857,-0.1420025898749131140873015873,-0.1555731562576569925595238096,-0.1557639457869121879960317459,38,43,26,50,41,16,26
16,1,3,2,0.25,0.0992234833722744804563492064,0.1071044230296911654761904763,0.0865309667919363234126984126,0.0716568441468928139880952382,0.0693369598108467427579365079,0.0770252741708264872023809523,0.0681545112004302346230158731,866,874,844,787,800,827,794
16,1,3,3,0.0500000000000001,-0.0094427901546801374007936508,-0.0015618504972634523809523809,-0.0221353067350182944444444446,-0.0827210967224373479166666667,-0.0593100636915366143849206350,-0.0534278116687724803571428572,-0.0443662591691210323412698412,534,583,482,206,305,316,385
16,2,1,1,0.0500000000000001,-0.0576775553048956409722222222,-0.0976708869455440997023809523,-0.0465217194342396268849206350,-0.003285346913373712500000000,-0.0631850741010358069444444444,-0.0796034518809976943452380953,-0.0381163821539806850198412698,317.5,140.5,370.5,580.5,280.5,191.5,404.5
16,2,1,2,0,-0.0742189086883544016865079365,-0.1142122403290028604166666666,-0.0630630728176983875992063493,-0.0723999891127268824404761904,-0.0671113880502241465277777779,-0.0750486467743765788690476192,-0.0692542912624366731150793649,228,74,280,244,251,206,217
16,2,1,3,0.0500000000000001,-0.0008498242124586766865079365,-0.0408431558531071354166666666,0.0103060116581973374007936507,-0.0447425719792067014880952381,0.0098685541459526570436507937,0.0342241906500669767857142857,-0.0130572345888899382936507937,558,426,625,406,611,718,540
16,2,2,1,0.1,-0.0709887131013476695436507936,-0.0559434997187236586309523809,-0.0705227032341924798611111111,-0.0165965047098257410714285714,-0.0764962318974878355158730158,-0.0564749296387675809523809523,-0.0689047812124345722222222223,252,317,220,538,176,308,224
16,2,2,2,0,-0.1206683656641271445436507936,-0.1056231522815031336309523809,-0.1202023557969719548611111111,-0.1188494460884996252976190475,-0.1135608450259968893849206350,-0.1147075969772647369047619048,-0.1203935170550929031746031745,66.5,115.5,68.5,59.5,69.5,76.5,71.5
16,2,2,3,0,-0.0741353664995490409722222222,-0.0590901531169250300595238095,-0.0736693566323938512896825397,-0.1180281142662970657738095238,-0.0634169881411377072420634920,-0.0822915384485901142857142857,-0.0641757667970949567460317461,236.5,294.5,190.5,73.5,272.5,173.5,282.5
16,2,3,1,0.1,-0.0872465758955881302579365079,-0.0499800774371622595238095237,-0.0865500414329979111111111112,-0.0328543675040662017857142857,-0.0927540946917282962301587301,-0.0675160825816647425595238096,-0.0965733007350147606150793650,129.5,360.5,132.5,445.5,130.5,258.5,96.5
16,2,3,2,0.1,-0.0511508218044780302579365079,-0.0138843233460521595238095237,-0.0504542873418878111111111112,-0.0493319022288505110119047618,-0.0440433011663477750992063493,-0.0439634722049168377976190477,-0.0440719076390285772817460316,332.5,509.5,338.5,385.5,378.5,373.5,388.5
16,2,3,3,0.1,0.0052495234213316375992063492,0.0425160218797575083333333334,0.0059460578839218567460317459,-0.0386432243454163872023809524,0.0159679017797429713293650794,-0.0093499392917515196428571429,0.0198157142957102378968253968,593,721,599,432,641,547,664
16,3,1,1,0,-0.0826374393559820548611111111,-0.1174077290508073568452380952,-0.0787923299201495010912698414,-0.0230221890186369696428571429,-0.0878602048745928918650793651,-0.0993402939862609514880952382,-0.0654212831592171834325396825,157,64,166,488,143,129,259
16,3,1,2,0,-0.0504005972507189048611111111,-0.0851708869455442068452380952,-0.0465554878148863510912698414,-0.0433586357292682288690476190,-0.0372677668785585957341269843,-0.0460072933909179252976190478,-0.0522997487241737965277777776,359,214,360,418,431,363,333
16,3,1,3,0.0500000000000001,-0.0121069464570680084325396825,-0.0468772361518933104166666666,-0.0082618370212354546626984128,-0.0507766522779928764880952381,0.0079704947272534125992063492,0.0281901103512808017857142857,0.0005635548574929049603174603,527,390,550,374,601,687,593
16,3,2,1,0.105263157894737,-0.0671821344269927620039682539,-0.0469138790985455943452380952,-0.0550436290509127624007936508,-0.0075668840896476767857142857,-0.0724048999456035990079365079,-0.0474453090185895166666666666,-0.0599297462666822408730158731,267,387,315,571,182,354,304
16,3,2,2,0.0500000000000001,-0.0845171386041022727182539682,-0.0642488832756551050595238095,-0.0723786332280222731150793651,-0.0774751770826515967261904761,-0.0713843082319419635912698414,-0.0733333279714167083333333334,-0.0724221964605781968253968253,145,256,202,222,214,229,182
16,3,2,3,0,-0.0781783750284966798611111111,-0.0579101197000495122023809524,-0.0660398696524166802579365080,-0.1168480808494215479166666667,-0.0581009338441752588293650794,-0.0811115050317145964285714286,-0.0695381992944603837301587302,205,304,237,82,318,182,208
